BUSINESS VS HEALTH_AND_FITNESS:	 statistic= -4.056783473589007;	 p_value= 5.0792046714399084e-05;
BUSINESS VS LIFESTYLE:	 statistic= -2.556636951461172;	 p_value= 0.010583764432733737;
BUSINESS VS MAPS_AND_NAVIGATION:	 statistic= -3.199232967119084;	 p_value= 0.0013816886315994373;
BUSINESS VS MUSIC_AND_AUDIO:	 statistic= -5.044821660282856;	 p_value= 4.691750143271337e-07;
BUSINESS VS NEWS_AND_MAGAZINES:	 statistic= -5.463116182737203;	 p_value= 4.841669810229754e-08;
BUSINESS VS PERSONALIZATION:	 statistic= -2.9711377315220244;	 p_value= 0.0029749238570495745;
BUSINESS VS PRODUCTIVITY:	 statistic= -4.037656454722123;	 p_value= 5.476425171619046e-05;
BUSINESS VS SHOPPING:	 statistic= -9.695132408114667;	 p_value= 5.002787536975755e-22;
BUSINESS VS SOCIAL:	 statistic= -6.0982863715670845;	 p_value= 1.1431974657085064e-09;
BUSINESS VS TOOLS:	 statistic= -4.906785215534967;	 p_value= 9.466379029918987e-07;
BUSINESS VS TRAVEL_AND_LOCAL:	 statistic= -2.7354039098833782;	 p_value= 0.006252325907745613;
BUSINESS VS GAME:	 statistic= -5.244467991812172;	 p_value= 1.5721799289016802e-07;
COMICS VS COMMUNICATION:	 statistic= 2.0105297223610368;	 p_value= 0.04439525574990282;
COMICS VS DATING:	 statistic= -2.1721932747476838;	 p_value= 0.029854895158539757;
COMICS VS EDUCATION:	 statistic= -6.29394641059177;	 p_value= 3.173646067301427e-10;
COMICS VS ENTERTAINMENT:	 statistic= -3.424536475018881;	 p_value= 0.0006173244366710308;
COMICS VS EVENTS:	 statistic= 7.483116436874954;	 p_value= 7.579156847133579e-14;
COMICS VS FINANCE:	 statistic= 5.5516813827892255;	 p_value= 2.8769689652713285e-08;
COMICS VS FOOD_AND_DRINK:	 statistic= 3.643560315933387;	 p_value= 0.0002695549900104828;
COMICS VS HOUSE_AND_HOME:	 statistic= 5.097781388254455;	 p_value= 3.4683996637644975e-07;
COMICS VS LIBRARIES_AND_DEMO:	 statistic= 6.312767677314279;	 p_value= 2.809389790900451e-10;
COMICS VS LIFESTYLE:	 statistic= 3.2743824994082193;	 p_value= 0.00106086622634317;
COMICS VS MEDICAL:	 statistic= 7.000601615701533;	 p_value= 2.6250079857181362e-12;
COMICS VS NEWS_AND_MAGAZINES:	 statistic= -4.0711729052389805;	 p_value= 4.7007317418532606e-05;
COMICS VS PARENTING:	 statistic= 7.510761827051971;	 p_value= 6.093982741035111e-14;
COMICS VS PHOTOGRAPHY:	 statistic= 2.89710676227304;	 p_value= 0.003772383330011711;
COMICS VS PRODUCTIVITY:	 statistic= -3.010975315860414;	 p_value= 0.002608769678876258;
COMICS VS SHOPPING:	 statistic= -5.62420950724763;	 p_value= 1.9003771747803434e-08;
COMICS VS SOCIAL:	 statistic= -7.540069365367909;	 p_value= 4.977945098321792e-14;
COMICS VS SPORTS:	 statistic= 4.465703169615731;	 p_value= 8.026987358464237e-06;
COMICS VS WEATHER:	 statistic= 4.192326193467198;	 p_value= 2.7761468335263105e-05;
COMICS VS GAME:	 statistic= -2.485925348150679;	 p_value= 0.012923683649376305;
COMMUNICATION VS DATING:	 statistic= -4.293267097871734;	 p_value= 1.7835245738762358e-05;
COMMUNICATION VS EDUCATION:	 statistic= -5.151488028010823;	 p_value= 2.65827792515511e-07;
COMMUNICATION VS ENTERTAINMENT:	 statistic= -4.050316203484704;	 p_value= 5.169645844948149e-05;
COMMUNICATION VS EVENTS:	 statistic= 3.765509720879568;	 p_value= 0.00016726617391903207;
COMMUNICATION VS FINANCE:	 statistic= 3.420469192334851;	 p_value= 0.0006297441874490599;
COMMUNICATION VS HEALTH_AND_FITNESS:	 statistic= -2.206623969305888;	 p_value= 0.027424817175460203;
COMMUNICATION VS LIBRARIES_AND_DEMO:	 statistic= 3.1544107351300386;	 p_value= 0.001614880554654967;
COMMUNICATION VS MEDICAL:	 statistic= 2.552694651028196;	 p_value= 0.010702189428353352;
COMMUNICATION VS MUSIC_AND_AUDIO:	 statistic= -2.8308329703201704;	 p_value= 0.004664277654921014;
COMMUNICATION VS NEWS_AND_MAGAZINES:	 statistic= -3.640914976135141;	 p_value= 0.00027398663195791464;
COMMUNICATION VS PARENTING:	 statistic= 2.334363319630928;	 p_value= 0.01959169882035399;
COMMUNICATION VS PRODUCTIVITY:	 statistic= -2.687570223739688;	 p_value= 0.007225590587323747;
COMMUNICATION VS SHOPPING:	 statistic= -6.3315406424693075;	 p_value= 2.703877643133311e-10;
COMMUNICATION VS SOCIAL:	 statistic= -4.47394072446744;	 p_value= 7.861481532552466e-06;
COMMUNICATION VS TOOLS:	 statistic= -2.8737523455294944;	 p_value= 0.004070384120816455;
